 Open, High, Low, Close
33992.09,34041.16,33686.59,33696.85
34008.63,34130.49,33833.1,34128.05
34194.09,34331.47,33827.45,34089.27
33887.39,34249.6,33887.39,34245.93
33671.54,33897.31,33591.99,33869.27
